brand,model,processor,gpu,ram_gb,storage_gb,display,battery,camera,color,price_bdt,source_url,project_description,user_review
Asus,TUF Gaming F16 FX607VB,Intel Core 5-210H,NVIDIA GeForce RTX 3050A 4GB,8GB DDR4,512GB PCIe 4.0 NVMe M.2 SSD,16 Inch WUXGA (1920x1200) 144Hz,4-cell 56Whrs,720p HD Camera,Mecha Gray,"120,800 ৳",https://www.startech.com.bd/asus-tuf-gaming-f16-fx607vb-core-5-210h-gaming-laptop,Hardware procurement spec for Asus TUF Gaming F16 FX607VB. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe 4.0 NVMe M.2 SSD.,"Purchased the TUF Gaming F16 FX607VB from StarTech. The Intel Core 5-210H handles my tasks effortlessly. Great value at 120,800 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Asus,TUF Gaming F16 FX607VB,Intel Core 5-210H,NVIDIA GeForce RTX 3050A 4GB,8GB DDR4,512GB PCIe 4.0 NVMe M.2 SSD,16 Inch WUXGA (1920x1200) 144Hz,4-cell 56Whrs,720p HD Camera,Mecha Gray,"120,800 ৳",https://www.startech.com.bd/asus-tuf-gaming-f16-fx607vb-core-5-210h-gaming-laptop,Hardware procurement spec for Asus TUF Gaming F16 FX607VB. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe 4.0 NVMe M.2 SSD.,"Purchased the TUF Gaming F16 FX607VB from StarTech. The Intel Core 5-210H handles my tasks effortlessly. Great value at 120,800 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
Asus,TUF Gaming F16 FX607VB,Intel Core 5-210H,NVIDIA GeForce RTX 3050A 4GB,8GB DDR4,512GB PCIe 4.0 NVMe M.2 SSD,16 Inch WUXGA (1920x1200) 144Hz,4-cell 56Whrs,720p HD Camera,Mecha Gray,"120,800 ৳",https://www.startech.com.bd/asus-tuf-gaming-f16-fx607vb-core-5-210h-gaming-laptop,Hardware procurement spec for Asus TUF Gaming F16 FX607VB. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe 4.0 NVMe M.2 SSD.,"Purchased the TUF Gaming F16 FX607VB from StarTech. The Intel Core 5-210H handles my tasks effortlessly. Great value at 120,800 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Asus,TUF Gaming F16 FX607VB,Intel Core 5-210H,NVIDIA GeForce RTX 3050A 4GB,8GB DDR4,512GB PCIe 4.0 NVMe M.2 SSD,16 Inch WUXGA (1920x1200) 144Hz,4-cell 56Whrs,720p HD Camera,Mecha Gray,"120,800 ৳",https://www.startech.com.bd/asus-tuf-gaming-f16-fx607vb-core-5-210h-gaming-laptop,Hardware procurement spec for Asus TUF Gaming F16 FX607VB. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe 4.0 NVMe M.2 SSD.,"Purchased the TUF Gaming F16 FX607VB from StarTech. The Intel Core 5-210H handles my tasks effortlessly. Great value at 120,800 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Asus,TUF Gaming F16 FX607VB,Intel Core 5-210H,NVIDIA GeForce RTX 3050A 4GB,8GB DDR4,512GB PCIe 4.0 NVMe M.2 SSD,16 Inch WUXGA (1920x1200) 144Hz,4-cell 56Whrs,720p HD Camera,Mecha Gray,"120,800 ৳",https://www.startech.com.bd/asus-tuf-gaming-f16-fx607vb-core-5-210h-gaming-laptop,Hardware procurement spec for Asus TUF Gaming F16 FX607VB. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe 4.0 NVMe M.2 SSD.,"Purchased the TUF Gaming F16 FX607VB from StarTech. The Intel Core 5-210H handles my tasks effortlessly. Great value at 120,800 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
HP,Victus Gaming 15-fb3166AX,AMD Ryzen 5 8645HS,NVIDIA GeForce RTX 2050 4GB,8GB DDR5,512GB PCIe SSD,15.6 Inch FHD (1920x1080) 144Hz,3-cell 52.5 Wh Li-ion,HP Wide Vision 720p HD,Mica Silver,"119,000 ৳",https://www.startech.com.bd/hp-victus-gaming-15-fb3166ax-gaming-laptop,Hardware procurement spec for HP Victus Gaming 15-fb3166AX. Evaluated on StarTech. Includes 8GB DDR5 and 512GB PCIe SSD.,"Purchased the Victus Gaming 15-fb3166AX from StarTech. The AMD Ryzen 5 8645HS handles my tasks effortlessly. Great value at 119,000 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
HP,15-fc0625AU,AMD Ryzen 3 7320U,AMD Radeon Graphics,8GB LPDDR5,512GB PCIe NVMe M.2 SSD,15.6 Inch FHD (1920x1080) Anti-glare,3-cell 41Wh Li-Ion,HP True Vision 720p HD,Warm Gold,"74,500 ৳",https://www.startech.com.bd/hp-15-fc0625au-ryzen-3-7320u-laptop,Hardware procurement spec for HP 15-fc0625AU. Evaluated on StarTech. Includes 8GB LPDDR5 and 512GB PCIe NVMe M.2 SSD.,"Purchased the 15-fc0625AU from StarTech. The AMD Ryzen 3 7320U handles my tasks effortlessly. Great value at 74,500 ৳."
Lenovo,LOQ 15IAX9E,Intel Core i5-12450HX,NVIDIA GeForce RTX 2050 4GB,12GB DDR5,512GB M.2 PCIe 4.0 NVMe SSD,15.6 Inch FHD (1920x1080) 144Hz,Integrated 57Wh,HD 720p with E-shutter,Luna Grey,"101,900 ৳",https://www.startech.com.bd/lenovo-loq-15iax9e-i5-12th-gen-gaming-laptop,Hardware procurement spec for Lenovo LOQ 15IAX9E. Evaluated on StarTech. Includes 12GB DDR5 and 512GB M.2 PCIe 4.0 NVMe SSD.,"Purchased the LOQ 15IAX9E from StarTech. The Intel Core i5-12450HX handles my tasks effortlessly. Great value at 101,900 ৳."
Acer,Aspire Lite AL15-41,AMD Ryzen 3 7330U,AMD Radeon Graphics,8GB DDR4,512GB PCIe NVMe SSD,15.6 Inch FHD (1920x1080) IPS,3-cell 36Wh Li-Ion,720p HD Camera,Pure Silver,"64,000 ৳",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-3-7330u-laptop,Hardware procurement spec for Acer Aspire Lite AL15-41. Evaluated on StarTech. Includes 8GB DDR4 and 512GB PCIe NVMe SSD.,"Purchased the Aspire Lite AL15-41 from StarTech. The AMD Ryzen 3 7330U handles my tasks effortlessly. Great value at 64,000 ৳."
